survey_id,shop_id,mobis_code,interaction_date,response_date,rating,verbatim,vendor_id,audience_type,customer_type,channel,case_type,case_level_1,case_level_2,case_level_3,source_system,is_mappable
226.714.734,,MOBIS520,2025-10-18,2025-11-02,5,,21202,SUBSCRIPTION,SUBSCRIBERS,OSO,New Activation,,,,Activation,False
226.722.346,668c00323a1fa1f996009788,MOBIS479,2025-10-20,2025-11-02,5,5,20506,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Sox and Cover,Sox and Cover,Purchase,True
226.735.064,,MOBIS509,2025-10-21,2025-11-02,3,nu,18337,SUBSCRIPTION,SUBSCRIBERS,OSO,New Activation,,,,Activation,False
226.773.053,668c00372364917bbb0097b4,MOBIS468,2025-10-25,2025-11-02,5,zeer vriendelijke/eerlijke verkoopster,21061,SUBSCRIPTION,SUBSCRIBERS,OSO,New Activation,,,,Activation,True
226.786.076,668c0032160ea4433f009784,MOBIS495,2025-10-27,2025-11-02,5,,18096,SUBSCRIPTION,SUBSCRIBERS,OSO,SIM Renewal,,,,Activation,True
226.797.326,,MOBIS516,2025-10-29,2025-11-02,5,,20488,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Sox and Cover,Sox and Cover,Purchase,False
226.799.315,668c00361611f516990097ae,MOBIS476,2025-10-29,2025-11-02,5,orange tamines le type tais gnial ! super bon conseil je recommande  100%,20491,SUBSCRIPTION,SUBSCRIBERS,OSO,Tariff Change,,,,Activation,True
226.799.702,,MOBIS523,2025-10-28,2025-11-02,4,j' ai t satisfait,20946,SUBSCRIPTION,SUBSCRIBERS,OSO,New Activation,,,,Activation,False
226.799.978,,MOBIS523,2025-10-29,2025-11-02,5,,20946,SUBSCRIPTION,SUBSCRIBERS,OSO,Takeover,,,,Activation,False
226.800.110,,MOBIS513,2025-10-28,2025-11-02,5,,18850,SUBSCRIPTION,SUBSCRIBERS,OSO,New Activation,,,,Activation,False
226.663.558,668c00312369e254ca00977c,MOBIS487,2025-10-13,2025-11-03,5,,21143,Prospect,,OSO,SIM PREPAID,,,,Activation,True
226.673.946,668c003023646613e5009774,MOBIS299,2025-10-14,2025-11-03,5,,3701,Prospect,,OSO,SIM PREPAID,,,,Activation,True
226.768.348,,MOBIS515,2025-10-24,2025-11-03,5,,18830,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Samsung,Purchase,False
226.769.655,668c00312369e254ca00977c,MOBIS487,2025-10-24,2025-11-03,4,,20962,SUBSCRIPTION,SUBSCRIBERS,OSO,Service Management,,,,Activation,True
226.771.498,668c0032236a76f08500978a,MOBIS439,2025-10-25,2025-11-03,5,,21598,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,XIAOMI,Purchase,True
226.787.336,668c00343a0e689bf0009798,MOBIS480,2025-10-27,2025-11-03,5,"tous c'est bien pass agrable,rapidit,...",17078,SUBSCRIPTION,SUBSCRIBERS,OSO,,,,,Activation,True
226.788.704,668c002f2367e064f500976d,MOBIS484,2025-10-28,2025-11-03,3,car c'est la moiti,19436,SUBSCRIPTION,SUBSCRIBERS,OSO,New Activation,,,,Activation,True
226.790.009,,,2025-10-27,2025-11-03,4,,ssn.mensa956,SUBSCRIPTION,SUBSCRIBERS,SMART,New Activation,,,,Activation,False
226.797.468,,MOBIS525,2025-10-29,2025-11-03,5,service de qualit,18295,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Apple,Purchase,False
226.797.947,668c003216119d7d59009785,MOBIS489,2025-10-29,2025-11-03,5,,17092,Prospect,,OSO,STANDALONE,STANDALONE,Standalone,XIAOMI,Purchase,True
226.798.189,668c003023673b2a0d009776,MOBIS351,2025-10-29,2025-11-03,5,,20907,SUBSCRIPTION,SUBSCRIBERS,OSO,Service Management,,,,Activation,True
226.798.302,668c00333a1f9c337500978b,MOBIS421,2025-10-29,2025-11-03,1,,18537,SUBSCRIPTION,SUBSCRIBERS,OSO,New Activation,,,,Activation,True
226.799.110,668c00343a0e689bf0009798,MOBIS480,2025-10-29,2025-11-03,4,,21675,SUBSCRIPTION,SUBSCRIBERS,OSO,Tariff Change,,,,Activation,True
226.820.961,668c00361611f516990097ae,MOBIS476,2025-10-31,2025-11-03,5,personnelle trs sympathique et rpond positivement  chaques questions. de plus trs bien renseign,20491,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Sox and Cover,Sox and Cover,Purchase,True
226.820.964,668c002e3a1f25af66009765,MOBIS381,2025-10-31,2025-11-03,5,,7551,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Apple,Purchase,True
226.820.967,,MOBIS518,2025-10-31,2025-11-03,5,"trs bien expliquer , prend sont temps , et il a rpondu a nos question , tout fait corectement",18042,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Samsung,Purchase,False
226.820.969,668c00343a0e689bf0009798,MOBIS480,2025-10-31,2025-11-03,5,"bonne accueil, vendeur a l'coute, trs bonne explication",17007,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Sox and Cover,Sox and Cover,Purchase,True
226.820.974,668c00343a0e689bf0009798,MOBIS480,2025-10-31,2025-11-03,5,,17936,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,XIAOMI,Purchase,True
226.820.976,,MOBIS528,2025-10-31,2025-11-03,5,aimable serviable et juste ce qu'il faut comme produit,20963,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Screen Protector,Screen Protector,Purchase,False
226.820.979,668c0030160ed08d20009777,MOBIS496,2025-10-31,2025-11-03,5,,17486,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Apple,Purchase,True
226.820.980,668c00341610fd0d45009799,MOBIS463,2025-10-31,2025-11-03,4,,16670,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Screen Protector,Screen Protector,Purchase,True
226.820.981,668c0031160e7a84cc00977b,MOBIS459,2025-10-31,2025-11-03,4,,17647,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Samsung,Purchase,True
226.820.984,668c00312369e254ca00977c,MOBIS487,2025-10-31,2025-11-03,2,,21143,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Samsung,Purchase,True
226.820.988,668c002f1610eef050009769,MOBIS402,2025-10-31,2025-11-03,2,,17632,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Screen Protector,Screen Protector,Purchase,True
226.820.991,668c002e16116d7d1c00975e,MOBIS312,2025-10-31,2025-11-03,5,was ene hele lieve medewerker en weet wat hij zegt en kon mij direct helpen. veel andere medewerkers vooral via jullie klantenservice voorbeeld aan moeten nemen,21585,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Sox and Cover,Sox and Cover,Purchase,True
226.820.995,,MOBIS532,2025-10-31,2025-11-03,5,eddy est trs sympa et srieux,20965,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Sox and Cover,Sox and Cover,Purchase,False
226.821.000,668c003316119aced8009790,MOBIS500,2025-10-31,2025-11-03,5,5,17976,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Apple,Purchase,True
226.821.004,668c002e23671931d9009760,MOBIS492,2025-10-31,2025-11-03,4,trop peux d explications sur product acheter ex..plus les memes prises pour ecouteur..si on me l available dit j en aurais acheter,19443,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Sox and Cover,Sox and Cover,Purchase,True
226.821.010,668c002f3a1f83e97e00976a,MOBIS455,2025-10-31,2025-11-03,5,bien renseign. bon accueil. rapidit,9934,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Apple,Purchase,True
226.821.014,,MOBIS520,2025-10-31,2025-11-03,4,,18442,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Apple,Purchase,False
226.821.048,668c00372364917bbb0097b4,MOBIS468,2025-10-31,2025-11-03,5,,17869,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Apple,Purchase,True
226.821.052,,MOBIS534,2025-10-31,2025-11-03,5,,CVVY7961,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Apple,Purchase,False
226.821.058,668c00342369bf0ede00979a,MOBIS324,2025-10-31,2025-11-03,5,turkse mijnheer heeft mij heel goed geholpen! nogmaals bedankt!,18570,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Charger,Desktop charger,Purchase,True
226.821.088,668c0032236ab3f452009782,MOBIS403,2025-10-31,2025-11-03,5,,18611,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Samsung,Purchase,True
226.821.089,,MOBIS524,2025-10-31,2025-11-03,5,"disponibilit, connaissance et comptences du vendeur pour obtenir le meilleur rapport qualit prix .",20948,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,APPLE REFURBISHED,Purchase,False
226.821.093,668c00351611d65fe10097a0,MOBIS344,2025-10-31,2025-11-03,5,,18082,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Apple,Purchase,True
226.821.112,668c0030161156caf1009775,MOBIS483,2025-10-31,2025-11-03,5,,18557,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,XIAOMI,Purchase,True
226.821.143,668c0030161156caf1009775,MOBIS483,2025-10-31,2025-11-03,5,,21183,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Screen Protector,Screen Protector,Purchase,True
226.821.157,668c00323a1fa1f996009788,MOBIS479,2025-10-31,2025-11-03,4,,18057,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Samsung,Purchase,True
226.821.160,668c002f2367efeb9c009768,MOBIS478,2025-10-31,2025-11-03,4,vendeur tres sympa et serviable beaucoup de monde donc il faut parfois attendre assez longtemps,19422,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Sox and Cover,Sox and Cover,Purchase,True
226.821.163,668c0037236ac63d970097b5,MOBIS472,2025-10-31,2025-11-03,5,trs bon accueil,21673,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Screen Protector,Screen Protector,Purchase,True
226.821.167,,MOBIS513,2025-10-31,2025-11-03,5,,18439,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Apple,Purchase,False
226.821.177,668c002f1610eef050009769,MOBIS402,2025-10-31,2025-11-03,5,,17082,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Apple,Purchase,True
226.821.179,,MOBIS530,2025-10-31,2025-11-03,5,,20480,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Apple,Purchase,False
226.821.184,,MOBIS512,2025-10-31,2025-11-03,5,,18443,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Apple,Purchase,False
226.821.186,668c002f3a1f83e97e00976a,MOBIS455,2025-10-31,2025-11-03,5,il tait super sympa et m'a fourni des informations assez clair,9934,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Apple,Purchase,True
226.821.209,668c002f3a1fd9b4ae00976f,MOBIS301,2025-10-31,2025-11-03,5,,18447,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Samsung,Purchase,True
226.821.211,668c00333a1f9c337500978b,MOBIS421,2025-10-31,2025-11-03,5,,16213,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Samsung,Purchase,True
226.821.214,668c002e23641fa926009764,MOBIS295,2025-10-31,2025-11-03,5,,18120,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Charger,Desktop charger,Purchase,True
226.821.217,668c00363a0df6b7b50097af,MOBIS488,2025-10-31,2025-11-03,5,,15528,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,XIAOMI,Purchase,True
226.821.234,,MOBIS534,2025-10-31,2025-11-03,5,accueil sympathique et service efficace juste pour un remplacement d'une tv commande voo,CVVY7961,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,TV (sales _ aftercare),Remote Control,Purchase,False
226.821.235,,MOBIS528,2025-10-31,2025-11-03,5,accueil et informations au top!ø=üm,19442,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Apple,Purchase,False
226.821.244,668c00312369e254ca00977c,MOBIS487,2025-10-31,2025-11-03,5,amabilit de la jeune employe,21143,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,TV (sales _ aftercare),Remote Control,Purchase,True
226.821.261,668c0037160e0a7b030097b1,MOBIS490,2025-10-31,2025-11-03,5,la competence,17091,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Samsung,Purchase,True
226.821.268,668c0032236a92f788009786,MOBIS474,2025-10-31,2025-11-03,5,le vendeur trs sympas et fait correctement son travail.,19404,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Samsung,Purchase,True
226.821.270,668c003023673b2a0d009776,MOBIS351,2025-10-31,2025-11-03,5,,19428,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Apple,Purchase,True
226.821.277,,MOBIS512,2025-10-31,2025-11-03,5,vendeur sympa et rpond  toutes nos demandes et questions,20969,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,XIAOMI,Purchase,False
226.821.285,,MOBIS552,2025-10-31,2025-11-03,5,super contente de l accueil de mademoiselle emma,21591,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Charger,Charger,Purchase,False
226.821.288,668c0034236a9853fa00979b,MOBIS471,2025-10-31,2025-11-03,5,,19408,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Apple,Purchase,True
226.821.289,668c0037160e0a7b030097b1,MOBIS490,2025-10-31,2025-11-03,5,,17091,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Sox and Cover,Sox and Cover,Purchase,True
226.821.293,668c003023673b2a0d009776,MOBIS351,2025-10-31,2025-11-03,5,,17565,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Charger,Charger,Purchase,True
226.821.310,668c00353a1f63ae5200979e,MOBIS507,2025-10-31,2025-11-03,5,,17965,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Apple,Purchase,True
226.821.313,,MOBIS528,2025-10-31,2025-11-03,5,,20982,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Apple,Purchase,False
226.821.329,668c0034236a9853fa00979b,MOBIS471,2025-10-31,2025-11-03,5,personnel serviable agrable et professionnel. boutique accueillante,19408,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Samsung,Purchase,True
226.821.333,668c0032160ea4433f009784,MOBIS495,2025-10-31,2025-11-03,5,"heel behulpzaam, eerlijke informatie, vriendelijk",17494,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Screen Protector,Screen Protector,Purchase,True
226.821.337,,MOBIS534,2025-10-31,2025-11-03,4,,21313,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Apple,Purchase,False
226.821.377,668c002e2369b003de00975f,MOBIS460,2025-10-31,2025-11-03,5,,18293,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Screen Protector,Screen Protector,Purchase,True
226.821.397,,MOBIS515,2025-10-31,2025-11-03,5,vos agents sont toujours au top.,18412,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Samsung,Purchase,False
226.821.409,668c003216119d7d59009785,MOBIS489,2025-10-31,2025-11-03,4,"acceuil super,le monsieur connais son jobs",17092,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Screen Protector,Screen Protector,Purchase,True
226.821.411,668c00363a0df6b7b50097af,MOBIS488,2025-10-31,2025-11-03,4,"efficace, rapide, toujours la pour aider si besoin. top",15528,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Samsung,Purchase,True
226.821.413,668c0031236ad1aa7200977d,MOBIS494,2025-10-31,2025-11-03,5,,18098,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Apple,Purchase,True
226.821.428,668c00373a0e6e98440097b6,MOBIS504,2025-10-31,2025-11-03,5,vrindelijk goede uitleg en behulpzaam,21412,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Sox and Cover,Sox and Cover,Purchase,True
226.821.436,668c0031160e7a84cc00977b,MOBIS459,2025-10-31,2025-11-03,5,,21480,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Samsung,Purchase,True
226.821.437,,MOBIS534,2025-10-31,2025-11-03,5,,20961,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Samsung,Purchase,False
226.821.440,668c002f3a1f83e97e00976a,MOBIS455,2025-10-31,2025-11-03,5,"personne pro , souriant , bonne infos ø=ülø<ßü",21615,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Samsung,Purchase,True
226.821.441,668c00323a1fa1f996009788,MOBIS479,2025-10-31,2025-11-03,5,,17405,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,XIAOMI,Purchase,True
226.821.450,,MOBIS532,2025-10-31,2025-11-03,5,parce qu ilest trs comptant,20965,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Samsung,Purchase,False
226.821.462,668c0032236a92f788009786,MOBIS474,2025-10-31,2025-11-03,5,le personnel agrable et comptant,19414,SUBSCRIPTION,SUBSCRIBERS,OSO,Connected Objects,Connected Objects,Sport and entertainment,Sport and entertainment,Purchase,True
226.821.466,,MOBIS509,2025-10-31,2025-11-03,5,"zeer vriendelijk, behulpzaam, meedenkend en duidelijk in zijn uitleg",18337,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Apple,Purchase,False
226.821.476,,MOBIS530,2025-10-31,2025-11-03,5,,20480,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Samsung,Purchase,False
226.821.477,,MOBIS518,2025-10-31,2025-11-03,5,le vendeur trs sympathique et trs professionnel,18042,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Apple,Purchase,False
226.821.502,,MOBIS532,2025-10-31,2025-11-03,5,,20965,SUBSCRIPTION,SUBSCRIBERS,OSO,Connected Objects,Connected Objects,Sport and entertainment,Sport and entertainment,Purchase,False
226.821.510,668c00332367285bf5009791,MOBIS469,2025-10-31,2025-11-03,5,,16850,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Screen Protector,Screen Protector,Purchase,True
226.821.513,668c002f1610eef050009769,MOBIS402,2025-10-31,2025-11-03,4,,12306,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Samsung,Purchase,True
226.821.527,,MOBIS529,2025-10-31,2025-11-03,5,,20956,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Samsung,Purchase,False
226.821.533,668c00312369e254ca00977c,MOBIS487,2025-10-31,2025-11-03,5,,20962,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Sox and Cover,Sox and Cover,Purchase,True
226.821.563,668c002e3a0d882276009762,MOBIS296,2025-10-31,2025-11-03,4,,16219,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Charger,Desktop charger,Purchase,True
226.821.576,,MOBIS513,2025-10-31,2025-11-03,5,"je voulais acheter un nouveau tlphone, les vendeurs taient vraiment trs sympathiques et  l'coute. je reviendrai",18439,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Sox and Cover,Sox and Cover,Purchase,False
226.821.579,,MOBIS513,2025-10-31,2025-11-03,5,,18439,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,XIAOMI,Purchase,False
226.821.580,668c00371610b70f580097b3,MOBIS019,2025-10-31,2025-11-03,5,"personnels professionnels , tres comptent et  l'coute du client",12565,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Sox and Cover,Sox and Cover,Purchase,True
226.821.582,668c00342369bf0ede00979a,MOBIS324,2025-10-31,2025-11-03,5,omdat het zeer goed was,18200,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Sox and Cover,Sox and Cover,Purchase,True
226.821.600,668c00361611f516990097ae,MOBIS476,2025-10-31,2025-11-03,4,accueil et proximit,20491,Prospect,,OSO,ACCESSORY,ACCESSORY,TV (sales _ aftercare),Remote Control,Purchase,True
226.821.620,,MOBIS525,2025-10-31,2025-11-03,5,il a fait tout son possible pour me rendre service et arriver  ses fins et c'est un excellent vendeur patient  l'coute je recommande,18295,Prospect,,OSO,STANDALONE,STANDALONE,Standalone,Samsung,Purchase,False
226.821.621,,MOBIS528,2025-10-31,2025-11-03,5,"employ trs aimable, bonnes informations",20982,Prospect,,OSO,ACCESSORY,ACCESSORY,Charger,Charger,Purchase,False
226.821.656,6765461c5e2a75c344058337,MOBIS271,2025-10-31,2025-11-03,1,,21569,Prospect,,OSO,STANDALONE,STANDALONE,Standalone,Samsung,Purchase,True
226.821.678,,MOBIS532,2025-10-31,2025-11-03,5,vendeur trs  l coute trs bon conseiller pour l achat de mon smartphone,20965,Prospect,,OSO,ACCESSORY,ACCESSORY,Screen Protector,Screen Protector,Purchase,False
226.821.694,668c00333a1f9c337500978b,MOBIS421,2025-10-31,2025-11-03,5,car le vendeur tait trs sympa et avec une bonne nergie et a rpondu  ce dont j'avais besoin dans ma bonne humeur un excellent vendeur !,18215,Prospect,,OSO,STANDALONE,STANDALONE,Standalone,XIAOMI,Purchase,True
