Response Date,Interaction date,SHOP_Shop Name + Aramis code,SHOP_Vendor,Satisfaction score (score on scale from 1 to 5),Verbatim,Respondent ID,SHOP_Shop AudienceName,SHOP_City,SHOP_Customer Type,SHOP_Channel,SHOP_Direction,SHOP_Mainchain,SHOP_Case type,SHOP_Case level 1,SHOP_Case level 2,SHOP_Case level 3,SHOP_Source file
01/11/2025,29/10/2025,ORANGE SHOP KORTRIJK - MOBIS467,18279,5,good services .,226.797.426,SUBSCRIPTION,B- 8500,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Samsung,Purchase
01/11/2025,29/10/2025,ORANGE SHOP BRUXELLES RUE NEUVE - MOBIS199,16488,5,,226.797.604,SUBSCRIPTION,B- 1000,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Apple,Purchase
01/11/2025,29/10/2025,ORANGE SHOP ANDERLECHT CORA - MOBIS518,21565,5,le vendeur a t trs professionnel et disponible,226.798.009,Prospect,B- 1070,N/A,OSO,Orange shops,MOBISTAR OWNED SHOPS,SIM PREPAID,N/A,N/A,N/A,Activation
01/11/2025,29/10/2025,ORANGE SHOP LIBRAMONT - MOBIS486,18341,5,,226.798.060,SUBSCRIPTION,B- 6800,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,New Activation,N/A,N/A,N/A,Activation
01/11/2025,29/10/2025,ORANGE SHOP AARSCHOT - MOBIS499,21328,4,,226.798.284,SUBSCRIPTION,B- 3200,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,Tariff Change,N/A,N/A,N/A,Activation
01/11/2025,29/10/2025,ORANGE SHOP SINT-TRUIDEN - MOBIS503,18120,5,,226.798.502,SUBSCRIPTION,B- 3800,FIRMS,OSO,Orange shops,MOBISTAR OWNED SHOPS,SIM Renewal,N/A,N/A,N/A,Activation
01/11/2025,29/10/2025,ORANGE SHOP LIBRAMONT - MOBIS486,18021,5,situation un peu complexe qui a t dtricote par le conseiller- vendeur et qui a trouv une solution.,226.798.765,SUBSCRIPTION,B- 6800,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,SIM Renewal,N/A,N/A,N/A,Activation
01/11/2025,29/10/2025,ORANGE SHOP COUVIN - MOBIS482,21170,5,,226.798.779,SUBSCRIPTION,B- 5660,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,New Activation,N/A,N/A,N/A,Activation
01/11/2025,29/10/2025,ORANGE SHOP NAMUR RUE DE FER - MOBIS522,17055,4,,226.798.786,SUBSCRIPTION,B- 5000,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,Tariff Change,N/A,N/A,N/A,Activation
01/11/2025,29/10/2025,ORANGE SHOP NIVELLES SHOPPING CENTER - MOBIS474,19407,5,"un bon accueil une personne sympatique ,il ne faut rien de plus!!!!",226.798.939,SUBSCRIPTION,B- 1400,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,N/A,N/A,N/A,N/A,Activation
01/11/2025,29/10/2025,ORANGE SHOP UCCLE ALSEMBERG - MOBIS516,17027,5,,226.799.058,SUBSCRIPTION,B- 1180,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,SIM Renewal,N/A,N/A,N/A,Activation
01/11/2025,29/10/2025,ORANGE SHOP UCCLE ALSEMBERG - MOBIS516,20488,5,,226.799.469,SUBSCRIPTION,B- 1180,FIRMS,OSO,Orange shops,MOBISTAR OWNED SHOPS,New Activation,N/A,N/A,N/A,Activation
01/11/2025,28/10/2025,ORANGE CARREFOUR DROGENBOS - MCOAT040,17298,5,bon service,226.799.610,SUBSCRIPTION,B- 1620,SUBSCRIBERS,TZ Carrefour,Indirect channels,MOBISTAR TRAFFIC ZONE CARREFOUR,New Activation,N/A,N/A,N/A,Activation
01/11/2025,29/10/2025,ORANGE SHOP FLERON - MOBIS529,20981,5,car le vendeur tait trs agrable et trs professionnel il a su nous conseiller,226.799.728,SUBSCRIPTION,B- 4620,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,Tariff Change,N/A,N/A,N/A,Activation
02/11/2025,18/10/2025,ORANGE SHOP WOLUWE SHOPPING CENTER - MOBIS520,21202,5,,226.714.734,SUBSCRIPTION,B- 1200,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,New Activation,N/A,N/A,N/A,Activation
02/11/2025,20/10/2025,ORANGE SHOP CHARLEROI RIVE GAUCHE SHOPPING - MOBIS479,20506,5,5,226.722.346,SUBSCRIPTION,B- 6000,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,ACCESSORY,ACCESSORY,Sox and Cover,Sox and Cover,Purchase
02/11/2025,21/10/2025,ORANGE SHOP BREE - MOBIS509,18337,3,nu,226.735.064,SUBSCRIPTION,B- 3960,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,New Activation,N/A,N/A,N/A,Activation
02/11/2025,25/10/2025,ORANGE SHOP KUURNE SHOPPING CENTER - MOBIS468,21061,5,zeer vriendelijke/eerlijke verkoopster,226.773.053,SUBSCRIPTION,B- 8520,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,New Activation,N/A,N/A,N/A,Activation
02/11/2025,27/10/2025,ORANGE SHOP NINOVE - MOBIS495,18096,5,,226.786.076,SUBSCRIPTION,B- 9400,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,SIM Renewal,N/A,N/A,N/A,Activation
02/11/2025,29/10/2025,ORANGE SHOP UCCLE ALSEMBERG - MOBIS516,20488,5,,226.797.326,SUBSCRIPTION,B- 1180,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,ACCESSORY,ACCESSORY,Sox and Cover,Sox and Cover,Purchase
02/11/2025,29/10/2025,ORANGE SHOP TAMINES - MOBIS476,20491,5,orange tamines le type tais gnial ! super bon conseil je recommande  100%,226.799.315,SUBSCRIPTION,B- 5060,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,Tariff Change,N/A,N/A,N/A,Activation
02/11/2025,28/10/2025,ORANGE SHOP JEMEPPE - MOBIS523,20946,4,j' ai t satisfait,226.799.702,SUBSCRIPTION,B- 4101,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,New Activation,N/A,N/A,N/A,Activation
02/11/2025,29/10/2025,ORANGE SHOP JEMEPPE - MOBIS523,20946,5,,226.799.978,SUBSCRIPTION,B- 4101,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,Takeover,N/A,N/A,N/A,Activation
02/11/2025,28/10/2025,ORANGE SHOP BRUXELLES CITY 2 SHOPPING CENTER - MOBIS513,18850,5,,226.800.110,SUBSCRIPTION,B- 1000,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,New Activation,N/A,N/A,N/A,Activation
03/11/2025,13/10/2025,ORANGE SHOP MARCHE-EN-FAMENNE - MOBIS487,21143,5,,226.663.558,Prospect,B- 6900,N/A,OSO,Orange shops,MOBISTAR OWNED SHOPS,SIM PREPAID,N/A,N/A,N/A,Activation
03/11/2025,14/10/2025,ORANGE SHOP LEUVEN DIESTSESTRAAT - MOBIS299,3701,5,,226.673.946,Prospect,B- 3000,N/A,OSO,Orange shops,MOBISTAR OWNED SHOPS,SIM PREPAID,N/A,N/A,N/A,Activation
03/11/2025,24/10/2025,ORANGE SHOP JETTE - MOBIS515,18830,5,,226.768.348,SUBSCRIPTION,B- 1090,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Samsung,Purchase
03/11/2025,24/10/2025,ORANGE SHOP MARCHE-EN-FAMENNE - MOBIS487,20962,4,,226.769.655,SUBSCRIPTION,B- 6900,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,Service Management,N/A,N/A,N/A,Activation
03/11/2025,25/10/2025,ORANGE SHOP BRUGGE SINT-KRUIS - MOBIS439,21598,5,,226.771.498,SUBSCRIPTION,B- 8310,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,XIAOMI,Purchase
03/11/2025,27/10/2025,ORANGE SHOP CHATELINEAU CORA - MOBIS480,17078,5,"tous c'est bien pass agrable,rapidit,...",226.787.336,SUBSCRIPTION,B- 6200,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,N/A,N/A,N/A,N/A,Activation
03/11/2025,28/10/2025,ORANGE SHOP HORNU CORA - MOBIS484,19436,3,car c'est la moiti,226.788.704,SUBSCRIPTION,B- 7301,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,New Activation,N/A,N/A,N/A,Activation
03/11/2025,27/10/2025,SOLUTIONARY - MENSA956,ssn.mensa956,4,,226.790.009,SUBSCRIPTION,B- 3600,SUBSCRIBERS,SMART,Indirect channels,EUPHONY COMMUNICATIONS BENELUX,New Activation,N/A,N/A,N/A,Activation
03/11/2025,29/10/2025,ORANGE SHOP LIEGE BELLE ILE SHOPPING CENTER - MOBIS525,18295,5,service de qualit,226.797.468,SUBSCRIPTION,B- 4020,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Apple,Purchase
03/11/2025,29/10/2025,ORANGE SHOP ANDENNE - MOBIS489,17092,5,,226.797.947,Prospect,B- 5300,N/A,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,XIAOMI,Purchase
03/11/2025,29/10/2025,ORANGE SHOP TOURNAI BASTION - MOBIS351,20907,5,,226.798.189,SUBSCRIPTION,B- 7500,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,Service Management,N/A,N/A,N/A,Activation
03/11/2025,29/10/2025,ORANGE SHOP DOCKS SHOPPING - MOBIS421,18537,1,,226.798.302,SUBSCRIPTION,B- 1000,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,New Activation,N/A,N/A,N/A,Activation
03/11/2025,29/10/2025,ORANGE SHOP CHATELINEAU CORA - MOBIS480,21675,4,,226.799.110,SUBSCRIPTION,B- 6200,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,Tariff Change,N/A,N/A,N/A,Activation
03/11/2025,31/10/2025,ORANGE SHOP TAMINES - MOBIS476,20491,5,personnelle trs sympathique et rpond positivement  chaques questions. de plus trs bien renseign,226.820.961,SUBSCRIPTION,B- 5060,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,ACCESSORY,ACCESSORY,Sox and Cover,Sox and Cover,Purchase
03/11/2025,31/10/2025,ORANGE SHOP OOSTENDE - MOBIS381,7551,5,,226.820.964,SUBSCRIPTION,B- 8400,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Apple,Purchase
03/11/2025,31/10/2025,ORANGE SHOP ANDERLECHT CORA - MOBIS518,18042,5,"trs bien expliquer , prend sont temps , et il a rpondu a nos question , tout fait corectement",226.820.967,SUBSCRIPTION,B- 1070,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Samsung,Purchase
03/11/2025,31/10/2025,ORANGE SHOP CHATELINEAU CORA - MOBIS480,17007,5,"bonne accueil, vendeur a l'coute, trs bonne explication",226.820.969,SUBSCRIPTION,B- 6200,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,ACCESSORY,ACCESSORY,Sox and Cover,Sox and Cover,Purchase
03/11/2025,31/10/2025,ORANGE SHOP CHATELINEAU CORA - MOBIS480,17936,5,,226.820.974,SUBSCRIPTION,B- 6200,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,XIAOMI,Purchase
03/11/2025,31/10/2025,ORANGE SHOP ROCOURT CORA - MOBIS528,20963,5,aimable serviable et juste ce qu'il faut comme produit,226.820.976,SUBSCRIPTION,B- 4000,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,ACCESSORY,ACCESSORY,Screen Protector,Screen Protector,Purchase
03/11/2025,31/10/2025,ORANGE SHOP OUDENAARDE - MOBIS496,17486,5,,226.820.979,SUBSCRIPTION,B- 9700,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Apple,Purchase
03/11/2025,31/10/2025,ORANGE SHOP EEKLO - MOBIS463,16670,4,,226.820.980,SUBSCRIPTION,B- 9900,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,ACCESSORY,ACCESSORY,Screen Protector,Screen Protector,Purchase
03/11/2025,31/10/2025,ORANGE SHOP IEPER - MOBIS459,17647,4,,226.820.981,SUBSCRIPTION,B- 8900,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Samsung,Purchase
03/11/2025,31/10/2025,ORANGE SHOP MARCHE-EN-FAMENNE - MOBIS487,21143,2,,226.820.984,SUBSCRIPTION,B- 6900,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Samsung,Purchase
03/11/2025,31/10/2025,ORANGE SHOP LIEGE PONT D'ILE - MOBIS402,17632,2,,226.820.988,SUBSCRIPTION,B- 4000,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,ACCESSORY,ACCESSORY,Screen Protector,Screen Protector,Purchase
03/11/2025,31/10/2025,ORANGE SHOP GENT VELDSTRAAT - MOBIS312,21585,5,was ene hele lieve medewerker en weet wat hij zegt en kon mij direct helpen. veel andere medewerkers vooral via jullie klantenservice voorbeeld aan moeten nemen,226.820.991,SUBSCRIPTION,B- 9000,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,ACCESSORY,ACCESSORY,Sox and Cover,Sox and Cover,Purchase
03/11/2025,31/10/2025,ORANGE SHOP DINANT - MOBIS532,20965,5,eddy est trs sympa et srieux,226.820.995,SUBSCRIPTION,B- 5500,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,ACCESSORY,ACCESSORY,Sox and Cover,Sox and Cover,Purchase
03/11/2025,31/10/2025,ORANGE SHOP TIENEN - MOBIS500,17976,5,5,226.821.000,SUBSCRIPTION,B- 3300,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Apple,Purchase
03/11/2025,31/10/2025,ORANGE SHOP BEN-AHIN - MOBIS492,19443,4,trop peux d explications sur product acheter ex..plus les memes prises pour ecouteur..si on me l available dit j en aurais acheter,226.821.004,SUBSCRIPTION,B- 4500,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,ACCESSORY,ACCESSORY,Sox and Cover,Sox and Cover,Purchase
03/11/2025,31/10/2025,ORANGE SHOP PLACE LOUISE - MOBIS455,9934,5,bien renseign. bon accueil. rapidit,226.821.010,SUBSCRIPTION,B- 1060,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Apple,Purchase
03/11/2025,31/10/2025,ORANGE SHOP WOLUWE SHOPPING CENTER - MOBIS520,18442,4,,226.821.014,SUBSCRIPTION,B- 1200,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Apple,Purchase
03/11/2025,31/10/2025,ORANGE SHOP KUURNE SHOPPING CENTER - MOBIS468,17869,5,,226.821.048,SUBSCRIPTION,B- 8520,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Apple,Purchase
03/11/2025,31/10/2025,ORANGE SHOP VERVIERS - MOBIS534,CVVY7961,5,,226.821.052,SUBSCRIPTION,B- 4800,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Apple,Purchase
03/11/2025,31/10/2025,ORANGE SHOP ST-NIKLAAS WAASLAND SHOPPING CENTER - MOBIS324,18570,5,turkse mijnheer heeft mij heel goed geholpen! nogmaals bedankt!,226.821.058,SUBSCRIPTION,B- 9100,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,ACCESSORY,ACCESSORY,Charger,Desktop charger,Purchase
03/11/2025,31/10/2025,ORANGE SHOP LA LOUVIERE CORA - MOBIS403,18611,5,,226.821.088,SUBSCRIPTION,B- 7100,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Samsung,Purchase
03/11/2025,31/10/2025,ORANGE SHOP VISE - MOBIS524,20948,5,"disponibilit, connaissance et comptences du vendeur pour obtenir le meilleur rapport qualit prix .",226.821.089,SUBSCRIPTION,B- 4600,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,APPLE REFURBISHED,Purchase
03/11/2025,31/10/2025,ORANGE SHOP WATERLOO - MOBIS344,18082,5,,226.821.093,SUBSCRIPTION,B- 1410,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Apple,Purchase
03/11/2025,31/10/2025,ORANGE SHOP HERSTAL - MOBIS483,18557,5,,226.821.112,SUBSCRIPTION,B- 4040,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,XIAOMI,Purchase
03/11/2025,31/10/2025,ORANGE SHOP HERSTAL - MOBIS483,21183,5,,226.821.143,SUBSCRIPTION,B- 4040,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,ACCESSORY,ACCESSORY,Screen Protector,Screen Protector,Purchase
03/11/2025,31/10/2025,ORANGE SHOP CHARLEROI RIVE GAUCHE SHOPPING - MOBIS479,18057,4,,226.821.157,SUBSCRIPTION,B- 6000,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Samsung,Purchase
03/11/2025,31/10/2025,ORANGE SHOP MESSANCY CORA - MOBIS478,19422,4,vendeur tres sympa et serviable beaucoup de monde donc il faut parfois attendre assez longtemps,226.821.160,SUBSCRIPTION,B- 6780,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,ACCESSORY,ACCESSORY,Sox and Cover,Sox and Cover,Purchase
03/11/2025,31/10/2025,ORANGE SHOP NALINNES - MOBIS472,21673,5,trs bon accueil,226.821.163,SUBSCRIPTION,B- 6120,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,ACCESSORY,ACCESSORY,Screen Protector,Screen Protector,Purchase
03/11/2025,31/10/2025,ORANGE SHOP BRUXELLES CITY 2 SHOPPING CENTER - MOBIS513,18439,5,,226.821.167,SUBSCRIPTION,B- 1000,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Apple,Purchase
03/11/2025,31/10/2025,ORANGE SHOP LIEGE PONT D'ILE - MOBIS402,17082,5,,226.821.177,SUBSCRIPTION,B- 4000,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Apple,Purchase
03/11/2025,31/10/2025,ORANGE SHOP LIEGE MEDIACITE - MOBIS530,20480,5,,226.821.179,SUBSCRIPTION,B- 4020,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Apple,Purchase
03/11/2025,31/10/2025,ORANGE SHOP IXELLES PORTE DE NAMUR - MOBIS512,18443,5,,226.821.184,SUBSCRIPTION,B- 1050,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Apple,Purchase
03/11/2025,31/10/2025,ORANGE SHOP PLACE LOUISE - MOBIS455,9934,5,il tait super sympa et m'a fourni des informations assez clair,226.821.186,SUBSCRIPTION,B- 1060,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Apple,Purchase
03/11/2025,31/10/2025,ORANGE SHOP UCCLE BASCULE - MOBIS301,18447,5,,226.821.209,SUBSCRIPTION,B- 1180,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Samsung,Purchase
03/11/2025,31/10/2025,ORANGE SHOP DOCKS SHOPPING - MOBIS421,16213,5,,226.821.211,SUBSCRIPTION,B- 1000,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Samsung,Purchase
03/11/2025,31/10/2025,ORANGE SHOP HASSELT - MOBIS295,18120,5,,226.821.214,SUBSCRIPTION,B- 3500,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,ACCESSORY,ACCESSORY,Charger,Desktop charger,Purchase
03/11/2025,31/10/2025,ORANGE SHOP BONCELLES - MOBIS488,15528,5,,226.821.217,SUBSCRIPTION,B- 4100,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,XIAOMI,Purchase
03/11/2025,31/10/2025,ORANGE SHOP VERVIERS - MOBIS534,CVVY7961,5,accueil sympathique et service efficace juste pour un remplacement d'une tv commande voo,226.821.234,SUBSCRIPTION,B- 4800,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,ACCESSORY,ACCESSORY,TV (sales _ aftercare),Remote Control,Purchase
03/11/2025,31/10/2025,ORANGE SHOP ROCOURT CORA - MOBIS528,19442,5,accueil et informations au top!ø=üm,226.821.235,SUBSCRIPTION,B- 4000,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Apple,Purchase
03/11/2025,31/10/2025,ORANGE SHOP MARCHE-EN-FAMENNE - MOBIS487,21143,5,amabilit de la jeune employe,226.821.244,SUBSCRIPTION,B- 6900,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,ACCESSORY,ACCESSORY,TV (sales _ aftercare),Remote Control,Purchase
03/11/2025,31/10/2025,ORANGE SHOP AYWAILLE - MOBIS490,17091,5,la competence,226.821.261,SUBSCRIPTION,B- 4920,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Samsung,Purchase
03/11/2025,31/10/2025,ORANGE SHOP NIVELLES SHOPPING CENTER - MOBIS474,19404,5,le vendeur trs sympas et fait correctement son travail.,226.821.268,SUBSCRIPTION,B- 1400,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Samsung,Purchase
03/11/2025,31/10/2025,ORANGE SHOP TOURNAI BASTION - MOBIS351,19428,5,,226.821.270,SUBSCRIPTION,B- 7500,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Apple,Purchase
03/11/2025,31/10/2025,ORANGE SHOP IXELLES PORTE DE NAMUR - MOBIS512,20969,5,vendeur sympa et rpond  toutes nos demandes et questions,226.821.277,SUBSCRIPTION,B- 1050,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,XIAOMI,Purchase
03/11/2025,31/10/2025,ORANGE SHOP CHARLEROI VILLE 2 - CELLULE 10006 - MOBIS552,21591,5,super contente de l accueil de mademoiselle emma,226.821.285,SUBSCRIPTION,B- 6000,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,ACCESSORY,ACCESSORY,Charger,Charger,Purchase
03/11/2025,31/10/2025,ORANGE SHOP MONS GRANDS PRES SHOPPING CENTER - MOBIS471,19408,5,,226.821.288,SUBSCRIPTION,B- 7000,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,STANDALONE,STANDALONE,Standalone,Apple,Purchase
